STATE_NAME,DISTRICT_NAME,PMGSY_SCHEME,NO_OF_ROAD_WORK_SANCTIONED,NO_OF_BRIDGES_SANCTIONED,NO_OF_ROAD_WORKS_COMPLETED,NO_OF_BRIDGES_COMPLETED,NO_OF_ROAD_WORKS_BALANCE,NO_OF_BRIDGES_BALANCE,LENGTH_OF_ROAD_WORK_SANCTIONED_KM,COST_OF_WORKS_SANCTIONED_LAKHS,LENGTH_OF_ROAD_WORK_COMPLETED_KM,EXPENDITURE_OCCURED_LAKHS,LENGTH_OF_ROAD_WORK_BALANCE_KM
"Andaman And Nicobar","North and Middle Andaman",PMGSY-I,32,0,32,0,0,0,60.169,24.6908,59.19,19.6281,0
"Andaman And Nicobar","North and Middle Andaman",PMGSY-II,24,0,0,0,24,0,54.67,27.7646,7.4,0,47.27
"Andhra Pradesh","Alluri Sitharama Raju",PMGSY-I,472,17,467,14,5,3,1952.378,775.6992,1809.482,702.0291,24.34
"Andhra Pradesh",Anakapalli,PMGSY-II,5,0,5,0,0,0,34.62,21.309,31.291,16.1277,0
"Andhra Pradesh",Anantapur,PMGSY-III,16,5,14,0,2,5,145.623,109.8399,122.207,68.9612,18.7
"Andhra Pradesh",Annamayya,PMGSY-III,55,1,28,0,27,1,412.738,234.54631,204.515,105.5521,202.358
"Andhra Pradesh",Bapatla,PMGSY-III,12,3,5,0,7,3,82.069,87.31,53.766,23.756,27.622
"Andhra Pradesh",Chittoor,PMGSY-I,148,3,148,3,0,0,482.261,101.8512,471.991,100.7436,0
"Andhra Pradesh","Dr BR Ambedkar Konaseema",PMGSY-II,6,0,6,0,0,0,47.223,24.736,45.354,20.979,0
"Andhra Pradesh",Eluru,PM-JANMAN,7,0,0,0,7,0,34.868,26.36,0,0,34.868
"Andhra Pradesh",Kurnool,PMGSY-I,138,24,138,24,0,0,454.725,137.4856,419.89,132.1242,0
"Andhra Pradesh",Nandyal,PMGSY-I,115,12,115,12,0,0,385.365,92.5398,365.51,48.7807,0
"Andhra Pradesh",Nandyal,PMGSY-II,5,0,5,0,0,0,54.93,32.6416,53.622,28.8901,0
"Andhra Pradesh",Nandyal,PM-JANMAN,1,0,0,0,1,0,7.11,4.4,0,0,7.11
"Andhra Pradesh","Parvathipuram Manyam",RCPLWEA,55,10,43,8,12,2,385.484,353.27394,305.191,283.3172,73.584
"Andhra Pradesh",Prakasam,PMGSY-II,9,0,9,0,0,0,61.404,30.9533,59.156,27.2731,0
"Andhra Pradesh",Srikakulam,PMGSY-I,211,7,211,7,0,0,561.36,123.0353,560.68,120.4759,0
"Andhra Pradesh",Srikakulam,PMGSY-II,8,0,8,0,0,0,63.04,32.9494,60.214,23.9706,0
"Andhra Pradesh",Tirupati,PMGSY-III,20,7,18,0,2,7,139.514,124.52347,133.386,44.4256,2
"Andhra Pradesh",Vizianagaram,PMGSY-II,11,0,11,0,0,0,80.5,40.985,79.69,34.0148,0
"Arunachal Pradesh",Changlang,PMGSY-I,100,28,99,28,1,0,949.981,534.7094,937.846,523.7373,10.52
"Arunachal Pradesh","East Kameng",PMGSY-III,8,0,2,0,6,0,51.9,44.84425,29.72,23.985,21.4
"Arunachal Pradesh",Kamale,PMGSY-II,3,0,3,0,0,0,29.5,28.0793,29,28.2116,0
"Arunachal Pradesh","Kra Daadi",PMGSY-I,49,18,42,12,7,6,1141.642,926.1711,1018.13,897.1921,119.262
"Arunachal Pradesh","Kra Daadi",PMGSY-II,2,0,2,0,0,0,11,10.6034,11,11.3703,0
"Arunachal Pradesh",Namsai,PMGSY-I,39,1,39,1,0,0,209.16,97.9754,209.16,95.7677,0
"Arunachal Pradesh","Papum Pare",PMGSY-III,12,12,0,0,12,12,109.62,158.12207,16.45,32.2711,93.17
"Arunachal Pradesh","Shi Yomi",PMGSY-II,1,0,1,0,0,0,7.18,3.7164,5.295,3.0357,0
"Arunachal Pradesh","Shi Yomi",PMGSY-III,1,1,0,0,1,1,7.87,16.3362,0,0,7.87
"Arunachal Pradesh",Tawang,PMGSY-I,59,5,59,5,0,0,608.374,454.0604,602.472,487.5618,0
"Arunachal Pradesh",Tawang,PMGSY-III,6,0,0,0,6,0,37.62,37.9503,0,5.8637,37.62
"Arunachal Pradesh","Upper Siang",PMGSY-III,4,0,0,0,4,0,27.1,23.69925,3.5,2.8912,23.6
Assam,Baksa,PMGSY-I,300,57,297,55,3,2,1007.206,667.20473,1002.424,698.4717,2.77
Assam,Darrang,PMGSY-III,18,4,14,2,4,2,127.182,103.81488,102.6,80.2647,22.237
Assam,Dhemaji,PMGSY-II,5,6,5,6,0,0,41.775,38.6316,41.775,36.6596,0
Assam,Golaghat,PMGSY-I,304,5,304,5,0,0,1204.084,611.48229,1203.511,624.9292,0
Assam,Hailakandi,PMGSY-I,111,7,111,7,0,0,387.395,272.3226,380.831,301.7354,0
Assam,Hailakandi,PMGSY-III,19,0,13,0,6,0,131.043,75.45408,88.038,47.4679,42.901
Assam,Kokrajhar,PMGSY-I,220,33,220,33,0,0,735.645,586.70618,734.945,589.574,0
Assam,Kokrajhar,PMGSY-III,7,3,4,0,3,3,78.087,64.31841,36.72,24.0529,41.367
Assam,Lakhimpur,PMGSY-III,26,3,15,1,11,2,154.389,95.26334,120.28,61.6144,34.049
Assam,N.C.Hills,PMGSY-III,21,10,13,1,8,9,207.566,169.82966,100.36,87.5971,107.206
Assam,Nalbari,PMGSY-III,37,1,31,0,6,1,208.322,154.83533,185.62,126.106,22.702
Assam,Nowgaon,PMGSY-I,862,46,862,46,0,0,2200.263,1158.28563,2191.611,1238.8295,0
Assam,Nowgaon,PMGSY-II,18,5,18,5,0,0,134.856,93.0606,130.503,85.1938,0
Assam,Sibsagar,PMGSY-I,530,31,530,31,0,0,1287.658,658.33483,1270.561,727.819,0
Assam,Udalguri,PMGSY-II,5,1,5,1,0,0,27.736,25.7462,27.736,27.6353,0
Bihar,Arwal,PMGSY-II,1,0,1,0,0,0,4.05,1.21388,3.95,3.1424,0
Bihar,Bhagalpur,PMGSY-II,4,0,3,0,1,0,33.35,17.2378,31.57,17.93,1
Bihar,Buxar,PMGSY-II,1,0,1,0,0,0,7.817,5.455,7.817,4.2034,0
Bihar,"East Champaran",PMGSY-II,15,0,15,0,0,0,51.742,22.1739,51.742,24.1707,0
Bihar,Jahanabad,PMGSY-I,284,3,281,3,3,0,562.569,250.34601,548.744,222.4337,5.051
Bihar,Jamui,PMGSY-I,541,54,532,52,9,2,1846.65,1010.15891,1766.13,890.5828,18.658
Bihar,Jamui,PMGSY-III,3,0,3,0,0,0,18.262,9.85921,18.261,6.7129,0
Bihar,Katihar,PMGSY-III,41,110,21,37,20,73,403.087,798.52004,305.921,445.8164,90.288
Bihar,Munger,PMGSY-I,185,3,185,3,0,0,457.382,204.65905,449.417,172.7916,0
Bihar,Muzaffarpur,PMGSY-I,761,12,759,12,2,0,2398.417,1350.30879,2324.26,1211.3099,6.824
Bihar,Nalanda,PMGSY-II,23,0,23,0,0,0,138.2,72.56586,137.158,73.689,0
Bihar,Nalanda,PMGSY-III,17,8,17,6,0,2,116.3,73.32436,114.463,55.5332,0
Bihar,Nawada,PMGSY-I,680,30,675,29,5,1,1669.35,938.50001,1611.346,794.3954,8.18
Bihar,Patna,PMGSY-III,13,1,11,0,2,1,85.585,62.87895,76.05,48.1657,8.53
Bihar,Purnia,PMGSY-I,552,70,546,60,6,10,2109.04,1339.97388,2076.975,1204.2655,0.7
Bihar,Samastipur,PMGSY-III,18,13,16,4,2,9,152.698,155.25075,138.631,124.4571,10.756
Bihar,Sitamarhi,PMGSY-III,19,24,17,6,2,18,137.915,184.52296,130.554,118.4904,3.492
Bihar,Supaul,PMGSY-I,215,20,213,16,2,4,672.916,468.9238,661.146,436.6297,1.662
Chhattisgarh,Balrampur,PMGSY-III,17,2,17,2,0,0,188.595,94.09783,187.605,76.8566,0
Chhattisgarh,Balrampur,PM-JANMAN,113,0,5,0,108,0,374.63,245.1893,22.85,0,351.53
Chhattisgarh,Bastar,RCPLWEA,51,1,51,1,0,0,479.475,303.27069,475.58,206.7392,0
Chhattisgarh,Bijapur,PMGSY-III,5,0,5,0,0,0,28.8,14.4354,28.8,13.7932,0
Chhattisgarh,Dhamtari,PMGSY-I,229,33,229,33,0,0,835.261,263.73067,789.978,255.5168,0
Chhattisgarh,Gariaband,PMGSY-III,19,15,19,5,0,10,227.08,124.8281,227.08,95.0204,0
Chhattisgarh,Jashpur,PMGSY-I,379,18,379,18,0,0,1922.406,662.97695,1837.145,636.6611,0
Chhattisgarh,Kawardha,PM-JANMAN,76,0,0,0,76,0,273.595,196.5299,5.35,0,268.245
Chhattisgarh,Kondagaon,RCPLWEA,72,11,65,4,7,7,549.97,392.95706,487.645,273.6765,59.5
Chhattisgarh,Korba,PMGSY-III,25,5,25,3,0,2,270.065,172.543,271.085,144.1704,0
Chhattisgarh,Korba,PM-JANMAN,36,0,0,0,36,0,140.625,110.31198,2,0,138.625
Chhattisgarh,Koria,PM-JANMAN,106,0,0,0,106,0,436.238,269.22477,0,0,436.238
Chhattisgarh,Mungeli,PMGSY-II,6,0,6,0,0,0,65.62,53.4757,65.62,47.6639,0
Chhattisgarh,Narayanpur,PMGSY-II,1,0,1,0,0,0,5.5,3.4768,5.5,3.8081,0
Chhattisgarh,Narayanpur,PMGSY-III,1,0,1,0,0,0,10,10.1972,10,9.4707,0
Chhattisgarh,Raigarh,PMGSY-II,14,0,14,0,0,0,178.596,110.8773,173.9,91.1443,0
Chhattisgarh,Rajnandgaon,PMGSY-III,45,8,45,8,0,0,411.75,281.27206,404.569,225.0837,0
Chhattisgarh,Sukma,PMGSY-I,223,1,148,1,75,0,1085.595,424.92455,833.525,353.58,247.1
Chhattisgarh,Surguja,PM-JANMAN,91,0,0,0,91,0,338.392,258.31517,28.87,0,309.522
Goa,"South Goa",PMGSY-III,7,0,0,0,7,0,49.63,44.43632,0,0,49.63
Gujarat,Amreli,PMGSY-III,9,0,8,0,1,0,76.591,44.27979,70.117,36.3691,6.588
Gujarat,Anand,PMGSY-I,245,0,245,0,0,0,523.83,103.4697,524.25,108.0646,0
Gujarat,Bhavnagar,PMGSY-I,59,0,59,0,0,0,147.345,24.7903,144.845,26.2212,0
Gujarat,Bhavnagar,PMGSY-III,11,6,9,2,2,4,99.063,77.9801,81.756,42.9006,17.8
Gujarat,Botad,PMGSY-I,26,0,26,0,0,0,79.435,12.7498,79.44,15.3514,0
Gujarat,Botad,PMGSY-III,3,0,3,0,0,0,20.364,9.87661,19.38,8.7543,0
Gujarat,Dahod,PMGSY-I,744,0,744,0,0,0,1541,418.9183,1517.585,426.5685,0
Gujarat,Dahod,PMGSY-III,13,9,12,4,1,5,161.486,137.00261,148.926,96.9691,12
Gujarat,Jamnagar,PMGSY-I,72,0,72,0,0,0,243.655,33.8307,239.925,32.6411,0
Gujarat,Jamnagar,PMGSY-II,5,0,5,0,0,0,56.6,31.8873,56.2,22.6223,0
Gujarat,Kheda,PMGSY-II,3,4,3,4,0,0,42.39,38.3096,42.47,28.7472,0
Gujarat,Kutch,PMGSY-I,129,0,129,0,0,0,757.26,213.4558,755.43,222.4805,0
Gujarat,Kutch,PMGSY-II,4,0,4,0,0,0,57.24,43.8796,57.24,34.9572,0
Gujarat,Tapi,PMGSY-I,189,2,189,2,0,0,460.005,161.0557,459.807,167.5964,0
Gujarat,Vadodara,PMGSY-I,33,0,33,0,0,0,88.325,12.3664,88.12,13.5241,0
Gujarat,Vadodara,PMGSY-III,8,0,8,0,0,0,83.465,52.2316,81.941,48.1604,0
Gujarat,Valsad,PMGSY-II,2,0,2,0,0,0,11.06,5.991,11.06,6.8492,0
Haryana,Ambala,PMGSY-I,22,0,22,0,0,0,171.07,50.3457,170.734,53.1038,0
Haryana,Bhiwani,PMGSY-II,3,0,3,0,0,0,32.34,23.4998,32.34,18.6206,0
Haryana,Hisar,PMGSY-II,3,0,3,0,0,0,28.45,24.1865,28.45,18.711,0
Haryana,Hisar,PMGSY-III,14,0,14,0,0,0,142.265,66.91083,141.505,62.9285,0
Haryana,Kaithal,PMGSY-I,20,0,20,0,0,0,281.71,103.4395,279.57,91.5525,0
Haryana,Mohindergarh,PMGSY-III,8,0,8,0,0,0,75.98,30.9324,75.395,24.0562,0
Haryana,Palwal,PMGSY-III,12,0,12,0,0,0,105.821,48.82524,103.103,43.1292,0
Haryana,Panipat,PMGSY-I,23,0,23,0,0,0,247.775,90.7737,247.77,82.915,0
Haryana,Panipat,PMGSY-III,11,0,11,0,0,0,80.7,42.35507,79.542,36.2714,0
Haryana,Sonepat,PMGSY-II,11,4,11,4,0,0,151.585,137.3145,145.967,124.7443,0
"Himachal Pradesh",Chamba,PMGSY-II,6,0,5,0,1,0,109.53,87.984,109.53,82.1913,0
"Himachal Pradesh",Kangra,PMGSY-II,24,0,24,0,0,0,234.39,156.6955,234.025,151.5347,0
"Himachal Pradesh",Kangra,PMGSY-III,58,12,2,0,56,12,518.163,593.43204,30.575,43.6312,487.588
"Himachal Pradesh","Lahul And Spiti",PMGSY-II,2,0,2,0,0,0,31.115,31.4474,30.8,34.2168,0
"Himachal Pradesh",Sirmaur,PMGSY-I,238,8,238,8,0,0,1618.913,543.4419,1595.028,511.458,0
"Himachal Pradesh",Solan,PMGSY-III,25,4,0,0,25,4,291.26,306.40434,0,33.3855,291.26
"Jammu And Kashmir",Kulgam,PMGSY-I,104,2,104,2,0,0,343.98,287.5272,335.39,245.2923,0
"Jammu And Kashmir",Kulgam,PMGSY-II,4,0,4,0,0,0,21.55,27.004,18.69,17.7407,0
"Jammu And Kashmir",Poonch,PMGSY-I,161,7,153,7,8,0,840.35,510.3447,800.81,520.6597,24.975
"Jammu And Kashmir",Poonch,PMGSY-II,4,0,4,0,0,0,37.2,36.9502,37.2,32.2794,0
"Jammu And Kashmir",Pulwama,PMGSY-III,18,3,11,0,7,3,127.145,166.67893,104.832,114.5357,23.22
"Jammu And Kashmir",Reasi,PMGSY-I,154,22,141,15,13,7,1505.005,1033.30034,1416.528,806.8209,69.655
"Jammu And Kashmir",Shopian,PMGSY-I,85,0,85,0,0,0,290.15,172.09632,287.404,150.2352,0
"Jammu And Kashmir",Shopian,PMGSY-II,2,0,2,0,0,0,23.65,28.5239,23,21.8045,0
"Jammu And Kashmir",Srinagar,PMGSY-I,21,0,21,0,0,0,69.23,32.3496,61.2,26.7774,0
"Jammu And Kashmir",Udhampur,PMGSY-I,398,60,386,55,12,5,3033.195,1773.4541,2908.533,1698.032,77.132
Jharkhand,Bokaro,PMGSY-I,366,11,366,11,0,0,1218.381,423.87659,1159.405,353.3851,0
Jharkhand,Bokaro,PMGSY-II,7,0,7,0,0,0,73.066,31.50319,73.066,18.1113,0
Jharkhand,Bokaro,RCPLWEA,13,12,13,8,0,4,91.075,110.99275,91.071,103.7147,0
Jharkhand,Dumka,RCPLWEA,9,2,9,2,0,0,57.803,48.7926,57.803,43.3092,0
Jharkhand,Gumla,RCPLWEA,17,30,14,27,3,3,264.96,296.89745,243.945,270.1519,19.05
Jharkhand,Khunti,PMGSY-I,329,14,329,14,0,0,1049.613,427.59383,1023.256,403.7562,0
Jharkhand,Khunti,RCPLWEA,53,13,49,13,4,0,333.312,316.83841,330.99,299.9362,1
Jharkhand,Khunti,PMGSY-III,25,10,15,1,10,9,219.64,185.54227,154.025,127.3861,65.525
Jharkhand,Koderma,PMGSY-III,11,2,9,0,2,2,85.308,52.33118,73.88,50.8689,12.32
Jharkhand,Lohardaga,RCPLWEA,18,14,13,13,5,1,172.155,173.70821,157.635,137.0532,12.92
Jharkhand,Palamu,PM-JANMAN,6,0,0,0,6,0,18.935,16.7886,0,0,18.935
Jharkhand,"Pashchimi Singhbhum",PMGSY-I,467,40,462,33,5,7,2203.987,909.47745,2159.914,868.2601,10.95
Jharkhand,"Pashchimi Singhbhum",RCPLWEA,31,22,23,11,8,11,302.715,305.34461,246.445,257.2377,54.579
Jharkhand,"Purbi Singhbhum",PMGSY-III,17,12,5,0,12,12,178.091,151.07022,151.465,93.0174,25.748
Jharkhand,Ramgarh,PMGSY-II,3,0,3,0,0,0,42.7,26.83655,42.43,20.65,0
Jharkhand,Ramgarh,RCPLWEA,6,4,6,3,0,1,18.83,33.04645,18.417,31.2974,0
Jharkhand,Ramgarh,PMGSY-III,9,3,0,2,9,1,66.747,47.60234,25.215,21.0865,41.532
Jharkhand,Ranchi,PMGSY-III,22,2,10,2,12,0,203.407,130.5189,134.09,56.3932,69.317
Jharkhand,Sahibganj,PMGSY-II,8,0,8,0,0,0,56.4,38.0902,56.4,34.1855,0
Jharkhand,"Saraikela Kharsawan",PMGSY-I,200,3,196,3,4,0,675.932,226.6499,616.539,197.7627,13.528
Jharkhand,Simdega,RCPLWEA,5,5,4,3,1,2,34.7,49.0022,18.2,32.8231,16.5
Karnataka,"Bangalore R",PMGSY-III,16,0,16,0,0,0,105.25,63.27428,101.89,58.5513,0
Karnataka,Belgaum,PMGSY-I,152,1,152,1,0,0,822.41,153.6108,822.21,155.1956,0
Karnataka,Bellary,PMGSY-I,103,6,103,6,0,0,613.73,117.3064,613.73,125.0896,0
Karnataka,Bidar,PMGSY-I,97,0,97,0,0,0,507.76,102.6897,507.76,118.0037,0
Karnataka,Bijapur,PMGSY-I,98,0,98,0,0,0,575.32,120.587,575.32,127.2759,0
Karnataka,Chamarajanagar,PMGSY-III,17,0,17,0,0,0,111.285,57.26696,108.93,56.9493,0
Karnataka,Chickballapur,PMGSY-II,10,0,10,0,0,0,68.42,25.4236,68.42,25.1018,0
Karnataka,Chitradurga,PMGSY-I,124,3,124,3,0,0,528.6,94.7622,528.6,109.2394,0
Karnataka,"Dakshina Kannada",PMGSY-III,21,7,21,7,0,0,172.595,151.51757,172.02,157.0854,0
Karnataka,Gadag,PMGSY-III,21,17,21,17,0,0,167.28,117.99868,162.266,124.8522,0
Karnataka,Hassan,PMGSY-II,14,0,14,0,0,0,75.33,33.5213,74.676,35.6829,0
Karnataka,Kolar,PMGSY-I,103,0,103,0,0,0,614.29,117.9051,614.53,125.7489,0
Karnataka,Mandya,PMGSY-II,11,0,11,0,0,0,70.27,24.5324,70.27,25.3148,0
Karnataka,Mysore,PMGSY-I,140,1,140,1,0,0,592.755,105.7215,592.775,120.5464,0
Karnataka,Mysore,PMGSY-II,16,0,16,0,0,0,100.12,48.3633,117.13,48.7997,0
Karnataka,Mysore,PMGSY-III,34,2,30,2,4,0,205.611,135.56569,200.521,132.8485,2.045
Karnataka,Tumkur,PMGSY-III,51,5,47,5,4,0,300.526,190.41821,294.636,179.4539,5.43
Karnataka,Udupi,PMGSY-I,101,1,101,1,0,0,383.01,98.7032,383.01,109.9806,0
Karnataka,Udupi,PM-JANMAN,5,0,0,0,5,0,5.831,5.3238,0,0,5.831
Karnataka,"Uttara Kannada",PMGSY-I,105,2,105,2,0,0,604.202,140.7259,604.202,171.0855,0
Karnataka,"Uttara Kannada",PMGSY-II,15,0,15,0,0,0,90,51.3631,89.14,43.5927,0
Kerala,Ernakulam,PMGSY-I,65,1,65,1,0,0,130.695,53.7921,130.318,58.5513,0
Kerala,Kollam,PMGSY-I,78,0,78,0,0,0,166.137,64.0191,165.962,67.8229,0
Kerala,Kottayam,PMGSY-I,61,0,59,0,2,0,151.898,74.0742,143.087,91.701,6.883
Kerala,Kozhikode,PMGSY-I,131,0,131,0,0,0,289.146,133.6686,288.693,148.3,0
Kerala,Pathanamthitta,PMGSY-I,78,0,75,0,3,0,186.627,88.0831,174.127,106.5896,8
Kerala,Thrissur,PMGSY-I,113,0,113,0,0,0,229.874,82.2317,229.152,91.0409,0
Ladakh,Kargil,PMGSY-I,88,2,83,2,5,0,624.385,488.9227,594.99,442.2754,13.5
"Madhya Pradesh","Ashok Nagar",PMGSY-II,7,2,7,2,0,0,57.235,38.9466,56.171,35.6292,0
"Madhya Pradesh","Ashok Nagar",PM-JANMAN,41,0,1,0,40,0,77.855,61.17195,0.522,0,77.275
"Madhya Pradesh",Balaghat,PMGSY-II,13,5,13,5,0,0,152.395,91.9018,152.115,82.4429,0
"Madhya Pradesh",Barwani,PMGSY-I,326,28,326,28,0,0,1460.21,491.59813,1372.078,521.2107,0
"Madhya Pradesh",Barwani,PMGSY-II,11,18,11,18,0,0,104.689,90.48632,104.694,70.5735,0
"Madhya Pradesh",Bhind,PMGSY-II,5,0,5,0,0,0,66.78,51.2411,66.528,53.8182,0
"Madhya Pradesh",Bhopal,PMGSY-II,2,1,2,1,0,0,51.23,42.4647,50.202,36.7711,0
"Madhya Pradesh",Burhanpur,PMGSY-II,6,1,6,1,0,0,28.95,20.2889,28.88,16.6051,0
"Madhya Pradesh",Chhatarpur,PMGSY-I,485,4,485,4,0,0,1920.965,532.60199,1869.575,512.6195,0
"Madhya Pradesh",Chhatarpur,PMGSY-II,17,5,17,5,0,0,121.83,74.59624,121.967,67.8781,0
"Madhya Pradesh",Damoh,PMGSY-II,6,4,5,4,1,0,138.571,79.7324,136.31,71.5239,2.2
"Madhya Pradesh",Datia,PM-JANMAN,8,0,2,0,6,0,14.7,10.63225,2.329,0,12.3
"Madhya Pradesh",Dindori,PMGSY-II,7,4,7,4,0,0,83.21,53.39352,79.117,57.7301,0
"Madhya Pradesh",Dindori,PMGSY-III,23,5,23,0,0,5,262.155,197.15199,259.109,110.0729,0
"Madhya Pradesh",Guna,PMGSY-II,6,3,6,3,0,0,82.38,64.37521,80.09,57.459,0
"Madhya Pradesh",Hoshangabad,PMGSY-I,302,6,302,6,0,0,1090.065,384.5404,1039.871,419.6596,0
"Madhya Pradesh",Indore,PMGSY-III,13,20,8,10,5,10,151.12,179.26063,121.737,109.6085,28.572
"Madhya Pradesh",Jabalpur,PMGSY-I,298,14,298,13,0,1,1038.875,365.25971,988.98,356.2721,0
"Madhya Pradesh",Jabalpur,PM-JANMAN,5,0,0,0,5,0,12.23,8.28579,0,0,12.23
"Madhya Pradesh",Jhabua,PMGSY-III,22,23,22,21,0,2,228.838,184.2143,227.726,139.9391,0
"Madhya Pradesh",Khandwa,PMGSY-I,323,34,323,34,0,0,1300.552,455.78852,1185.083,409.7413,0
"Madhya Pradesh",Khargone,PMGSY-I,479,38,479,37,0,1,2052.005,696.55118,1952.571,640.905,0
"Madhya Pradesh",Mandsour,PMGSY-III,7,13,7,11,0,2,192.736,169.80764,189.417,123.8614,0
"Madhya Pradesh",Narsinghpur,PMGSY-I,325,12,324,12,1,0,1197.735,416.42779,1127.469,402.8182,13.1
"Madhya Pradesh",Narsinghpur,PMGSY-II,5,1,5,1,0,0,74.675,42.6407,69.356,38.9112,0
"Madhya Pradesh",Sagar,PMGSY-I,519,24,519,22,0,2,1912.948,638.57422,1853.515,573.6503,0
"Madhya Pradesh",Sagar,PMGSY-II,13,8,13,8,0,0,178.727,151.28449,177.55,140.3944,0
"Madhya Pradesh",Satna,PM-JANMAN,1,0,0,0,1,0,2.85,2.43826,0,0,2.85
"Madhya Pradesh",Sehore,PMGSY-II,5,9,5,9,0,0,82.1,89.77582,79.476,80.1687,0
"Madhya Pradesh",Seoni,PMGSY-II,10,10,10,10,0,0,141.22,87.1031,138.426,73.8472,0
"Madhya Pradesh",Shahdol,PM-JANMAN,42,0,0,0,42,0,84.779,58.64244,4.83,0,79.949
"Madhya Pradesh",Shajapur,PMGSY-II,5,7,5,7,0,0,79.146,51.0444,78.981,49.5073,0
"Madhya Pradesh",Sheopur,PMGSY-I,182,16,182,16,0,0,879.03,287.03007,845.528,254.7874,0
"Madhya Pradesh",Sheopur,PMGSY-II,3,24,3,24,0,0,61.2,75.27924,60.62,73.4555,0
"Madhya Pradesh",Shivpuri,PMGSY-II,10,3,10,3,0,0,190.632,134.90602,185.327,111.9422,0
"Madhya Pradesh",Sidhi,PM-JANMAN,77,0,0,0,77,0,218.839,159.1708,10.724,0,208.115
"Madhya Pradesh",Singrauli,PMGSY-III,11,0,11,0,0,0,150.8,99.8944,150.164,75.8621,0
"Madhya Pradesh",Tikamgarh,PMGSY-III,23,4,23,1,0,3,215.698,159.14235,214.144,101.4716,0
"Madhya Pradesh",Umaria,PMGSY-II,4,1,4,1,0,0,49.38,26.49041,49.375,26.0982,0
Maharashtra,Ahmednagar,PMGSY-I,203,15,202,15,1,0,1269.835,376.01638,1225.623,368.8257,0.56
Maharashtra,Ahmednagar,PMGSY-III,60,4,22,0,38,4,418.75,326.1721,246.615,200.8803,171.555
Maharashtra,Akola,PMGSY-III,10,0,10,0,0,0,116.01,97.90609,116.01,111.361,0
Maharashtra,Amrawati,PMGSY-II,8,2,8,2,0,0,66.6,33.8249,65.9,30.3332,0
Maharashtra,Amrawati,PMGSY-III,28,26,26,0,2,26,180.125,181.98311,173.591,122.6607,3
Maharashtra,Bhandara,PMGSY-I,137,8,137,8,0,0,502.25,98.1209,499.299,95.0626,0
Maharashtra,Buldhana,PMGSY-III,19,9,13,0,6,9,100.34,94.41716,81.47,69.6384,17.512
Maharashtra,Dhule,PMGSY-II,7,6,7,6,0,0,59.29,35.8535,59.29,30.0629,0
Maharashtra,Gondia,PMGSY-II,13,1,13,1,0,0,86.81,49.5096,86.42,39.5875,0
Maharashtra,Hingoli,PMGSY-III,16,3,16,0,0,3,111.18,86.05522,108.8,91.7441,0
Maharashtra,Latur,PMGSY-II,8,16,8,16,0,0,67.27,74.4051,66.85,65.4157,0
Maharashtra,Nashik,PMGSY-I,212,26,212,26,0,0,1221.777,350.47184,1102.245,330.6126,0
Maharashtra,Nashik,PMGSY-II,20,4,20,4,0,0,138.255,79.8756,137.725,84.012,0
Maharashtra,Nashik,PMGSY-III,68,11,24,0,44,11,420.105,339.6342,174.685,219.9824,241.87
Maharashtra,Osmanabad,PMGSY-I,135,44,135,44,0,0,461.4,125.198,461.4,120.056,0
Maharashtra,Parbhani,PMGSY-II,7,6,7,6,0,0,49.38,39.0058,48.58,35.4389,0
Maharashtra,Pune,PMGSY-III,47,1,8,0,39,1,302.635,256.12758,123.766,120.803,178.185
Maharashtra,Sangali,PMGSY-I,207,8,207,8,0,0,692.662,151.3623,676.734,153.4437,0
Maharashtra,Satara,PMGSY-I,137,2,137,2,0,0,823.735,193.4119,801.885,180.4212,0
Maharashtra,Satara,PMGSY-II,18,0,18,0,0,0,111.795,57.3397,107.28,51.7698,0
Maharashtra,Sindhudurg,PMGSY-II,17,3,17,3,0,0,81.782,53.8889,94.798,52.4985,0
Maharashtra,Thane,PMGSY-I,43,0,43,0,0,0,115.012,38.8165,110.396,32.9066,0
Maharashtra,Wardha,PMGSY-I,137,9,137,9,0,0,976.956,240.7053,959.839,-31.8426,0
Maharashtra,Washim,PMGSY-I,104,9,104,9,0,0,479.75,102.462,473.08,98.9662,0
Maharashtra,Washim,PMGSY-III,17,8,9,0,8,8,103.935,97.89375,82.995,60.396,19.935
Manipur,"Imphal East",PMGSY-I,242,35,242,25,0,10,522.193,367.55554,529.163,352.8041,0
Manipur,"Imphal West",PMGSY-III,19,0,0,0,19,0,120.74,93.2818,0,0,120.74
Manipur,Senapati,PMGSY-III,11,0,0,0,11,0,120.14,96.71633,0,0,120.14
Manipur,Ukhrul,PMGSY-III,9,0,0,0,9,0,92.25,76.8203,0,0,92.25
Meghalaya,"East Khasi Hills",PMGSY-I,191,3,189,3,2,0,742.539,365.36525,733.579,348.7814,2.533
Meghalaya,"East Khasi Hills",PMGSY-II,18,0,18,0,0,0,106.012,73.62574,105.915,71.7412,0
Meghalaya,"South Garo Hills",PMGSY-II,10,6,7,6,3,0,57.631,60.78697,55.181,57.9345,2.45
Meghalaya,"West Garo Hills",PMGSY-III,37,16,4,0,33,16,302.909,367.50477,55.09,39.4571,247.824
Meghalaya,"West Khasi Hills",PMGSY-I,213,11,207,11,6,0,967.815,539.2124,938.496,493.0075,28.588
